src,dst
Carlos H. M. de Lima,Pedro H. J. Nardelli
Carlos H. M. de Lima,Richard Demo Souza
Carlos H. M. de Lima,Paulo Cardieri
Allen MacKenzie,Carlos H. M. de Lima
"Abbas Jamalipour, Fellow IEEE, Fellow IEICE, Fellow IEA",Kaveh Pahlavan
Jorge C. Sousa e Castro,Luís Pessoa
Izzat Darwazeh,Luís Pessoa
José Figueiredo,Luís Pessoa
Bruno Romeira,Luís Pessoa
Deborah O'Connell,Timo Gans
Deborah O'Connell,Jean-Paul Booth
Arthur Greb,Deborah O'Connell
Deborah O'Connell,Miles M Turner
Bastien Bruneau,Deborah O'Connell
Deborah O'Connell,Erik Johnson
Deborah O'Connell,Erik Wagenaars
Deborah O'Connell,James Dedrick
Deborah O'Connell,Zoltan Donko
Deborah O'Connell,Ihor Korolov
Deborah O'Connell,Trevor Lafleur
Deborah O'Connell,Sandra Schröter
Marc Delcroix,Tomohiro Nakatani
Shinji Watanabe,Tomohiro Nakatani
Reinhold Haeb-Umbach,Tomohiro Nakatani
Mohammad Ashjaei,Thomas Nolte
Mohammad Ashjaei,Paulo Pedreiras
Guillermo Rodriguez-Navas,Mohammad Ashjaei
Rafael Murrieta-Cid,seth hutchinson
Katherine J. Mimnaugh,Rafael Murrieta-Cid
Andre Marcal,Carlos Guedes
Carlos Guedes,Fabien Gouyon
Carlos Guedes,Konstantinos Trochidis
Jason O'Kane,Lawrence H. Erickson
Jingjin Yu,Lawrence H. Erickson
Jorge Goncalves,Vassilis Kostakos
Jorge Goncalves,Niels van Berkel
Jorge Goncalves,Zhanna Sarsenbayeva
Jorge Goncalves,Yong liu
Hannu Kukka,Jorge Goncalves
Jorge Goncalves,Simon Klakegg
Aku Visuri,Jorge Goncalves
Jorge Goncalves,Theodoros (Thodoris) Anagnostopoulos
Jorge Goncalves,Shin'ichi Konomi
Jonas Oppenlaender,Jorge Goncalves
Michail Papamichail,Themistoklis Diamantopoulos
Alexandros Iosifidis,Vasileios Mygdalis
Ioannis Mademlis,Vasileios Mygdalis
Alberto Rabbachin,Ian Oppermann
Ian Oppermann,"Lucian Stoica, L. Stoica"
Branka Vucetic,Ian Oppermann
Ian Oppermann,Pedro Pinto
Meiyappan Nagappan,Steffen Dienst
Ahmed E. Hassan,Steffen Dienst
Bram Adams,Steffen Dienst
Krzysztof Czarnecki,Steffen Dienst
Andrzej Wąsowski,Steffen Dienst
Steffen Dienst,Steven She
Francesco Regazzoni,Thomas Eisenbarth
Despoina Chatzakou,Maria Giatsoglou
Christos Faloutsos,Maria Giatsoglou
Leonidas Anthopoulos,Maria Giatsoglou
Christos Zigkolis,Maria Giatsoglou
Maria Giatsoglou,Symeon Papadopoulos
Benedikt Schmidt,Pierre-Yves Strub
Benedikt Schmidt,François Dupressoir
Benedikt Schmidt,Dario Fiore
Benedikt Schmidt,Bogdan Warinschi
Benedikt Schmidt,José Bacelar Almeida
Benedikt Schmidt,Tiago Oliveira
David J Brady,Michael Gehm
Jean-Paul Guillet,Mounaix patrick
Benoit Recur,Jean-Paul Guillet
Jean-Paul Guillet,Lionel Canioni
Inka Manek-Hönninger,Jean-Paul Guillet
Jean-Paul Guillet,Valery Tuchin
G.T. Andreou,Milioudis N. Apostolos
Aggelos Bouhouras,Milioudis N. Apostolos
Kallisthenis I. Sgouras,Milioudis N. Apostolos
Dimitrios I. Doukas,Milioudis N. Apostolos
Dimitri Frantzeskakis,Theodoros Horikis
Panayotis Kevrekidis,Theodoros Horikis
Ana Castro,Tiago T. V. Vinhoza
Ana Castro,Susana Brás
Ana Castro,Pedro Tiago Gomes
Ana Castro,Helder P. Oliveira
Ana Castro,Pedro Ferreira
Ana Castro,P Carvalho
Ana Castro,Daniel Pereira
Ana Castro,Ricardo João Cruz-Correia
Greg Zacharewicz,Ribault judicaël
Fotis Liarokapis,Martin White
Martin White,Panagiotis Petridis
Krzysztof Walczak,Martin White
Katerina Mania,Martin White
Martin White,Wojciech Cellary
Jacek Chmielewski,Martin White
António J. S. Teixeira,Liliana Ferreira
Bastien Bruneau,Erik Johnson
Bastien Bruneau,Timo Gans
Bastien Bruneau,Ihor Korolov
Arthur Greb,Bastien Bruneau
Bastien Bruneau,Paola Diomede
Bastien Bruneau,Savino Longo
Bastien Bruneau,James Franek
Danny Hermelin,Stéphane Vialette
Danny Hermelin,Guillaume Fertin
Alkinoos Athanasiou,Panagiotis Bamidis
Alkinoos Athanasiou,Niki Pandria
Forrest Shull,Lucas Layman
Lucas Layman,Tim Menzies
Lucas Layman,Thomas Zimmermann
Lucas Layman,V Basili
Hakan Erdogmus,Lucas Layman
Davide Falessi,Lucas Layman
Lucas Layman,Meiyappan Nagappan
Carlos Veiga Rodrigues,Luís Tiago Paiva
Dalila Benedita Machado Martins Fontes,Luís Tiago Paiva
Dave Ferguson,Siddhartha Srinivasa
Dave Ferguson,James Kuffner
Mario Heiderich,Tilman Frosch
Christian Mainka,Tilman Frosch
Sven Schäge,Tilman Frosch
Antonio Moreira,Leonardo de Mello Honorio
Aníbal CC Matos,Leonardo de Mello Honorio
Leonardo de Mello Honorio,Nuno Abreu
Dimitrios Fitsios,George T. Kanellos
Dimitrios Fitsios,Theoni Alexoudi
Chris Vagionas,Dimitrios Fitsios
Dimitrios Fitsios,Konstantinos Vyrsokinos
Dimitrios Fitsios,Hercules Avramopoulos
Dimitrios Apostolopoulos,Dimitrios Fitsios
Dimitrios Fitsios,Tolga Tekin
Dimitrios Fitsios,Sotirios Papaioannou
Dimitrios Fitsios,Giannis Giannoulis
Dimitrios Fitsios,George Dabos
Mara Tanelli,Sergio Matteo Savaresi
Mara Tanelli,Marco Lovera
Mara Tanelli,Ricardo de Castro
Igor Nai Fovino,Yannis Theodoridis
Igor Nai Fovino,Riccardo Satta
Florian Alt,Ivan Elhart
Ivan Elhart,Tommi Heikkinen
Ivan Elhart,Jorge C. S. Cardoso
Dr. Anshuman Kalla,Tharaka Mawanane Hewa
Dr. Anshuman Kalla,Raaj Anand Mishra
An Braeken,Dr. Anshuman Kalla
Dr. Anshuman Kalla,Gurkan Gur
ANCA  DELIA JURCUT,Dr. Anshuman Kalla
Dr. Anshuman Kalla,John Murphy
Antonio Teixeira,Paulo André
Hypolito José Kalinowski,Paulo André
Frédéric Puel,julien morlier
Gilles Muller,Renaud Marlet
Calton Pu,Renaud Marlet
Julia L. Lawall,Renaud Marlet
Ashvin Goel,Renaud Marlet
Luke Hornof,Renaud Marlet
Perry Wagle,Renaud Marlet
François Goasdoué,Marie-Christine Rousset
Pedro M. Santos,Susana Sargento
Pedro M. Santos,"PhD, Luis Ramos Pinto"
Pedro M. Santos,tania calcada
Pedro M. Santos,Pedro M. d'Orey
João Guilherme Pereira Rodrigues,Pedro M. Santos
Pedro M. Santos,Traian Emanuel Abrudan (ATE)
Frederico Miguel Santos,Pedro M. Santos
Jose S. Matos,Pedro M. Santos
Marco Jose da Silva,Muhammad Awais Sattar
Ioannis (Yiannis) Kompatsiaris,Kostas Karatzas
Anne Canteaut,Gregor Leander
Anne Canteaut,Lars Ramkilde Knudsen
Anne Canteaut,Christian Rechberger
Anne Canteaut,Seznec Andre
Anas Chaaban,Prof. Mohamed-Slim Alouini
Merouane Debbah,Prof. Mohamed-Slim Alouini
Dr. Hayssam Dahrouj,Prof. Mohamed-Slim Alouini
Kaori Fujinami,Tatsuo Nakajima
Fahim Kawsar,Tatsuo Nakajima
Diomidis S. Michalopoulos,Robert Schober
Diomidis S. Michalopoulos,Theodoros Tsiftsis
Athanasios Lioumpas,Diomidis S. Michalopoulos
Iro Voulgari,Sofia Papavlasopoulou
Dimitra Christidou,Iro Voulgari
Carlos Pomalaza-Raez,Heikki Karvonen
Attaphongse Taparugssanagorn,Carlos Pomalaza-Raez
Carlos Pomalaza-Raez,Pedro H. J. Nardelli
Carlos Pomalaza-Raez,Paulo Cardieri
Carlos Pomalaza-Raez,Ian Oppermann
Alberto Rabbachin,Carlos Pomalaza-Raez
Carlos Pomalaza-Raez,Kaveh Pahlavan
Hemantha Kodikara Arachchi,Jaime Delgado
Jaime Delgado,Safak Dogan
Dmitri Moltchanov,Vitaly Petrov
Josep Miquel Jornet,Vitaly Petrov
Gabor Fodor,Vitaly Petrov
IAN  F.  AKYILDIZ,Vitaly Petrov
Maria Datcheva,Tom Schanz
Marga Marcos,Marisol García Valls
Daniel E. Rivera,Eric Hekler
Cesar A. Martin,Daniel E. Rivera
Daniel E. Rivera,Mohammad T. Freigoun
An Braeken,Tharaka Mawanane Hewa
Gurkan Gur,Tharaka Mawanane Hewa
Raaj Anand Mishra,Tharaka Mawanane Hewa
Giuliano Russo,Julian Perelman
Giuliano Russo,Ines Campos-Matos
Emmanuel Vincent,Mark D. Plumbley
Emmanouil Benetos,Mark D. Plumbley
Mark D. Plumbley,mike davies
Erik Johnson,Timo Gans
Erik Johnson,Zoltan Donko
Erik Johnson,Ihor Korolov
Arthur Greb,Erik Johnson
Edmund Schuengel,Erik Johnson
Erik Johnson,Paola Diomede
Erik Johnson,Savino Longo
Henrikki Liimatainen,Juho Antti Sirviö
Davide Falessi,Natalia Juristo
Claes Wohlin,Davide Falessi
Ijaz Ahmad,Tanesh Kumar
An Braeken,Tanesh Kumar
Pawani Porambage,Tanesh Kumar
Alexandr Kostochka,Ingo Schiermeyer
Ingo Schiermeyer,Paul Dorbec
Alain Finkel,Jerome Leroux
Alain Finkel,Javier Esparza
Krasheninnikov Arkady,Ossi Lehtinen
Jani Kotakoski,Ossi Lehtinen
Afsaneh Doryab,Anind K. Dey
Alfredo Morales Pinzon,Maciej Orkisz
Alfredo Morales Pinzon,Marcela Hernandez Hoyos
Alfredo Morales Pinzon,Leonardo Flórez-Valencia
Salim Belouettar,Yao Koutsawa
Ahmed Makradi,Yao Koutsawa
Gaetano Giunta,Yao Koutsawa
Paolo Vannucci,Yao Koutsawa
Angela Vincenti,Yao Koutsawa
Dimitri Frantzeskakis,Panayotis Kevrekidis
Fabian Kiessling,Twan Lammers
Stanley Fokong,Twan Lammers
George Constantinides,Wayne Luk
João M. P. Cardoso,Wayne Luk
Koen Bertels,Wayne Luk
Dionisios Pnevmatikatos,Wayne Luk
Vlad-Mihai Sima,Wayne Luk
Forrest Shull,Hakan Erdogmus
Hakan Erdogmus,Natalia Juristo
Hakan Erdogmus,maurizio morisio
Dario Catalano,Dario Fiore
Bogdan Warinschi,Dario Fiore
Anil Fernando,Hemantha Kodikara Arachchi
Anil Fernando,Safak Dogan
Jesús Arnau,Marios Kountouris
Björn Ottersten,Jesús Arnau
Jesús Arnau,Merouane Debbah
Stefanos Kaxiras,Vasileios Spiliopoulos
Matti Siekkinen,Mohammad Ashraful Hoque
Mohammad Ashraful Hoque,Pan Hui
Andrey Lukyanenko,Mohammad Ashraful Hoque
George Pallis,Marios D. Dikaiakos
Marios D. Dikaiakos,Pankaj Mehra
Alexandros Iosifidis,Moncef Gabbouj
Juho Kanniainen,Moncef Gabbouj
Moncef Gabbouj,Nikolaos Passalis
"Abbas Jamalipour, Fellow IEEE, Fellow IEICE, Fellow IEA","Nei Kato(IEEE Fellow, IEICE Fellow)"
"Abbas Jamalipour, Fellow IEEE, Fellow IEICE, Fellow IEA",Ehssan Sakhaee
Liang Wang,Wanli Ouyang (欧阳万里)
Andreas I. Chrysochos,Eleftherios O. Kontis
Eleftherios O. Kontis,Theofilos Papadopoulos
Eleftherios O. Kontis,Georgios Christoforidis
Eleftherios O. Kontis,Konstantinos Oureilidis
Eleftherios O. Kontis,George E. Georghiou
Bart Meersman,Eleftherios O. Kontis
Dimitar Bozalakov,Eleftherios O. Kontis
Eleftherios O. Kontis,Lieven Vandevelde
Izzat Darwazeh,Miguel Rodrigues
Abdenour Hadid,Timo Ahonen
Abdenour Hadid,Elhocine Boutellaa
Abdenour Hadid,Juha Ylioinas
Abdenour Hadid,Jean-luc Dugelay
Anthony Steed,Mel Slater
André Silva Aguiar,Filipe Neves Dos Santos
José Alves Diniz,Sofia Balula Dias
Sofia Balula Dias,Stelios Hadjidimitriou
Sofia Balula Dias,Vasileios S. Charisis
Panagiotis Bamidis,Sofia Balula Dias
João Barroso,Sofia Balula Dias
Daniel E. Lucani,Muriel Medard
Jean-Claude Martin,Matthieu Courgeon
ANCA  DELIA JURCUT,Pasika Sashmal Ranaweera
ANCA  DELIA JURCUT,An Braeken
ANCA  DELIA JURCUT,Andrei Gurtov
ANCA  DELIA JURCUT,Tanesh Kumar
ANCA  DELIA JURCUT,Pardeep kumar
Ayşe (Bener) Başar,Bora Caglayan
Bora Caglayan,Ekrem Kocaguneli
Ayşe Tosun,Bora Caglayan
Bora Caglayan,Pawel Pralat
Christos Berberidis,George Tzanis
Christos Berberidis,Efstratios Kontopoulos
Christos Berberidis,Theologos Dergiades
Christos Berberidis,Walid G. Aref
Ahmed Elmagarmid,Christos Berberidis
Christos Berberidis,Christos Tjortjis
Chris Sander,Sophia Tsoka
Paul Jaak Janssen,Sophia Tsoka
Sophia Tsoka,pereira-leal j
Ioannis Iliopoulos,Sophia Tsoka
Aale Luusua,Johanna Ylipulli
Aale Luusua,Hannu Kukka
Aale Luusua,Vassilis Kostakos
Aale Luusua,Marko Jurmu
Aale Luusua,Anind K. Dey
Aale Luusua,Tommi Heikkinen
Gail Murphy,Thomas Zimmermann
Mariá C. V. Nascimento,Valério Rosset
Francisco Vasques,Valério Rosset
Andre Dias,Eduardo Silva
Bruno Romeira,José Figueiredo
Fragkiskos D. Malliaros,Michalis Vazirgiannis
Christos Faloutsos,Fragkiskos D. Malliaros
Dimitrios Serpanos,Manolis G.H. Katevenis
Dimitrios Serpanos,Vijaykrishnan Narayanan
"Elizabeth Burnside M.D., MPH, M.S.",Jude Shavlik
Apostolos Dollas,Euripides Sotiriades
Apostolos Dollas,Dionisios Pnevmatikatos
Apostolos Dollas,Manolis G.H. Katevenis
Apostolos Dollas,Vasilis J. Promponas
Abdenour Hadid,Mohammad Tavakolian
Christophe Kolski,Sophie Lepreux
Lucy Ellen Lwakatare,Teemu Karvonen
Jan Bosch,Lucy Ellen Lwakatare
Lucy Ellen Lwakatare,Pilar Rodríguez
Lucy Ellen Lwakatare,Muhammad Ovais Ahmad
Leif Skiftenes Flak,Øystein Sæbø
Leif Skiftenes Flak,Maung Sein
Carl Erik Moe,Leif Skiftenes Flak
Bjørn Erik Munkvold,Leif Skiftenes Flak
Leif Skiftenes Flak,Tom Roar Eikebrokk
Leif Skiftenes Flak,Peter Axel Nielsen
Abid Yahya,Leatile  Marata
Baudouin Denis de Senneville,Chrit Moonen
Baudouin Denis de Senneville,Sébastien Roujol
Gaetano Cascini,Hernan Casakin
Anind K. Dey,Eija Ferreira (Haapalainen)
Eija Ferreira (Haapalainen),Pekka Siirtola
Eija Ferreira (Haapalainen),Jorge Goncalves
Eija Ferreira (Haapalainen),Satu Tamminen
Eija Ferreira (Haapalainen),Vassilis Kostakos
Eija Ferreira (Haapalainen),"Jämsä, Timo"
Eija Ferreira (Haapalainen),Simon Klakegg
Silviu-Iulian NICULESCU,Sorin Olaru
Ionela Prodan,Sorin Olaru
Cristina Stoica Maniu,Sorin Olaru
Ella Peltonen,Lauri Lovén
Lauri Lovén,Pawani Porambage
Ekaterina Gilman,Lauri Lovén
Abhinay Pandya,Lauri Lovén
Jorge Goncalves,Lauri Lovén
Lauri Lovén,Vassilis Kostakos
Lauri Lovén,Niels van Berkel
Aaron Yi DING,Lauri Lovén
Gilles Bailly,Laurence Nigay
Henning Höpfner,Markus Lindemann
"Elizabeth Burnside M.D., MPH, M.S.",Houssam Nassif
Houssam Nassif,Jude Shavlik
Fanny Chevalier,Jean-Daniel Fekete
Fanny Chevalier,Shengdong Zhao
Joost Visser,Jose N. Oliveira
Jose N. Oliveira,Paulo F. Silva
Alcino Cunha,Jose N. Oliveira
Jose N. Oliveira,Nuno Macedo
Ioannis (Yiannis) Kompatsiaris,Thanos G. Stavropoulos
Georgios Meditskos,Thanos G. Stavropoulos
Efstratios Kontopoulos,Thanos G. Stavropoulos
Antonis Bikakis,Thanos G. Stavropoulos
Emmanouil S. Rigas,Thanos G. Stavropoulos
Apostolos Gkamas,Christos J. Bouras
Christos J. Bouras,Vaggelis Kapoulas
Christos J. Bouras,Vassilis Triantafillou
Daniel P. Palomar,Javier R. Fonollosa
Javier R. Fonollosa,Luis G. Ordóñez
Gesualdo Scutari,Javier R. Fonollosa
Holger Boche,Javier R. Fonollosa
Christian Mainka,Paul Rösler
Juraj Somorovsky,Paul Rösler
Benjamin Dowling,Paul Rösler
Douglas Stebila,Paul Rösler
A. Omar Portillo-Dominguez,John Murphy
A. Omar Portillo-Dominguez,Erik Altman
A. Omar Portillo-Dominguez,Peter F Sweeney
A. Omar Portillo-Dominguez,Liam Murphy
A. Omar Portillo-Dominguez,Adriana Hava
A. Omar Portillo-Dominguez,Nick Mitchell
Christos Diou,Janet H.W. van den Boer
Janet H.W. van den Boer,Vasileios Papapanagiotou
Janet H.W. van den Boer,"Nicos Maglaveras, FEAMBES"
Lars Lischke,Sven Mayer
Lars Lischke,Paweł W. Woźniak
Lars Lischke,Morten Fjeld
Lars Lischke,Przemysław Kucharski
Lars Lischke,Mohammad Obaid
Lars Lischke,Shengdong Zhao
Lionel Canioni,Mounaix patrick
Inka Manek-Hönninger,Lionel Canioni
Benoit Recur,Lionel Canioni
Chu HE,Timo Ahonen
Chu HE,Jie Chen
Luca Faes,Maria Eduarda Silva
Paula Viana,Pedro Carvalho
Joao Magalhaes,Paula Viana
Ekaterina Gilman,Jiehan Zhou
Jiehan Zhou,Zhonghong Ou
Jiehan Zhou,Meirong Liu
Jiehan Zhou,Timo Koskela
Jiehan Zhou,Xiang Su
Jiehan Zhou,Marius Bilasco
Jiehan Zhou,Rautiainen Mika
Alexander Wild,Ingo von Maurich
Alexander Wild,Thomas Eisenbarth
Hugo Conceição,Ricardo Fernandes
Pedro M. d'Orey,Ricardo Fernandes
Fausto Vieira,Ricardo Fernandes
Pedro Gomes,Ricardo Fernandes
Ricardo Fernandes,wantanee viriyasitavat
Peter Steenkiste,Ricardo Fernandes
Luis Moreira-Matias,Ricardo Fernandes
João Mendes-Moreira,Ricardo Fernandes
Joao Gama,Ricardo Fernandes
Calton Pu,Perry Wagle
Ashvin Goel,Calton Pu
Kat Krol,Simon Parkin
Ingolf Becker,Simon Parkin
Iacovos Kirlappos,Simon Parkin
Ruba Abu-Salma,Simon Parkin
Gabriele Lenzini,Simon Parkin
Ahmed Mehaoua,Raouf Boutaba
Ahmed Mehaoua,Midou Nafaa
Ahmed Mehaoua,Yassine Hadjadj-Aoul
Ahmed Mehaoua,Daniel NEGRU
Ahmed Mehaoua,Youssef Iraqi
Ahmed Mehaoua,Georgios Kormentzas
Ahmed Mehaoua,Eugen Borcoci
Ahmed Mehaoua,Hamid Asgari
Adlen KSENTINI,Ahmed Mehaoua
Jani Mäntyjärvi,Jonna Hakkila
Jonna Hakkila,Leena Ventä-Olkkonen
Florian Alt,Jonna Hakkila
Jonna Hakkila,Minna Pakanen
Anind K. Dey,Jonna Hakkila
Dimitrios A. Adamos,Makrina Viola Kosti
João M. P. Cardoso,Tiago Carvalho
João Bispo,Tiago Carvalho
Pedro Pinto,Tiago Carvalho
George Kakarontzas,Nikolaos Mittas
Mahdi Bohlouli,Nikolaos Mittas
Nikolaos Mittas,THEODOSIOS THEODOSIOU
Alexander Chatzigeorgiou,Nikolaos Mittas
Apostolos Ampatzoglou,Nikolaos Mittas
Makrina Viola Kosti,Nikolaos Mittas
Bruno Mateus Ferreira,Jerome Jouffroy
Aníbal CC Matos,Jerome Jouffroy
Dr.Bobins Augustine,Kimmo Leppänen
David Lo,Lingxiao JIANG
David Lo,Tegawendé F. Bissyandé
David Lo,Julia L. Lawall
Ahmed E. Hassan,David Lo
Georgios Gaganelis,Philipp Junker
Antonio Moreira,Paulo Costa
Andre Gustavo Scolari Conceicao,Antonio Moreira
Antonio Moreira,Luis Paulo Reis
Antonio Moreira,Germano Veiga
Antonio Moreira,Tiago Nascimento
Antonio Moreira,Aníbal CC Matos
Antonio Moreira,Filipe Neves Dos Santos
Antonio Moreira,Helder P. Oliveira
Anke Lindner,R J Poole
Anke Lindner,Christian Wagner
Bernardete Ribeiro,Catarina Silva
Catarina Silva,Mario Antunes
Babak Khalaj,MohammadJavad Salehi
Jukka Komulainen (né Määttä),Pekka Siirtola
Jukka Komulainen (né Määttä),Vili Kellokumpu
Jukka Holappa,Jukka Komulainen (né Määttä)
Paweł W. Woźniak,Sven Mayer
Morten Fjeld,Sven Mayer
Mario Mangold,Ursula Keller
Mario Mangold,Matthias Golling
Bauke Tilma,Mario Mangold
Dr. Sandro Michael Link,Mario Mangold
Mario Mangold,Oliver Sieber
Florian Emaury,Mario Mangold
Andreas Diebold,Mario Mangold
Garrett D. Cole,Mario Mangold
Joost Visser,Paulo F. Silva
Andrew Moss,Paulo F. Silva
Dan Page,Paulo F. Silva
Alcino Cunha,Paulo F. Silva
Michael Felderer,Vahid Garousi
Dietmar Pfahl,Vahid Garousi
Dr. (Tech) Juha Petäjäjärvi,Konstantin Mikhaylov
Janne Janhunen,Konstantin Mikhaylov
Heikki Karvonen,Konstantin Mikhaylov
Ekram Hossain,Konstantin Mikhaylov
Marcelo Eduardo Pellenz,Richard Demo Souza
Glauber Brante,Marcelo Eduardo Pellenz
Gustavo Fraidenraich,Marcelo Eduardo Pellenz
Koen Bertels,Vlad-Mihai Sima
Razvan Nane,Vlad-Mihai Sima
Emmanouel (Manos) Varvarigos,Michael Paraskevas
Christos J. Bouras,Michael Paraskevas
Michael Paraskevas,Vaggelis Kapoulas
Casper Lassenius,Juha Itkonen
Juha Itkonen,Timo O.A. Lehtinen
Jari Vanhanen,Juha Itkonen
João Paulo Barraca,Susana Sargento
Andreas Kassler,Susana Sargento
Volodymyr Ushenko,Yuriy A. Ushenko
Alexandros Pitilakis,Odysseas Tsilipakos
Anna Tasolamprou,Odysseas Tsilipakos
Alain Dereux,Odysseas Tsilipakos
Christos K Liaskos,Odysseas Tsilipakos
Jean-Claude Weeber,Odysseas Tsilipakos
Karim HASSAN,Odysseas Tsilipakos
Odysseas Tsilipakos,Sergey I. Bozhevolnyi
Odysseas Tsilipakos,Thomas Christopoulos
Konstantinos Vyrsokinos,Odysseas Tsilipakos
Björn Ottersten,Mats Bengtsson
Björn Ottersten,Emil Björnson
Bernardete Ribeiro,P Carvalho
Marilia Curado,P Carvalho
Niels van Berkel,Vassilis Kostakos
Vassilis Kostakos,Yong liu
Hannu Kukka,Vassilis Kostakos
Vassilis Kostakos,Zhanna Sarsenbayeva
Jakob Rogstadius,Vassilis Kostakos
Maja Vukovic,Vassilis Kostakos
Anind K. Dey,Vassilis Kostakos
Vassilis Kostakos,Yong Li
Theodoros (Thodoris) Anagnostopoulos,Vassilis Kostakos
Huber Flores,Vassilis Kostakos
Aku Visuri,Vassilis Kostakos
Andrzej Wąsowski,Krzysztof Czarnecki
Andrzej Wąsowski,Steven She
Andrzej Wąsowski,Rafael Lotufo
Andrzej Wąsowski,Ștefan Stănciulescu
Andrzej Wąsowski,Sven Apel
Merouane Debbah,Walid Saad
HV Poor,Walid Saad
Christos Faloutsos,Timos Sellis
Christos Faloutsos,Philip S. Yu
Fernando A. Auat Cheein,Ricardo Carelli
João Pedro Trovão,Paulo G. Pereirinha
Paulo G. Pereirinha,Ricardo de Castro
Martin Walker,Yiannis Papadopoulos
Arash Alimardani Lavasan,Tom Schanz
Arash Alimardani Lavasan,Chenyang Zhao
Arash Alimardani Lavasan,Maria Datcheva
Le-Nam Tran,Muhammad Fainan Hanif
Muhammad Fainan Hanif,Prof. Mohamed-Slim Alouini
Beatriz Lorenzo,Muhammad Fainan Hanif
Dionisios Pnevmatikatos,Euripides Sotiriades
Euripides Sotiriades,Vasilis J. Promponas
Euripides Sotiriades,Nikolaos Chrysos
Joaquim Ferreira,João Paulo Barraca
Markus Leinonen,Mohammad Moltafet
Jiguang He,Markus Leinonen
Markus Leinonen,Nikolaos Pappas
Gerhard Kramer,Markus Leinonen
Georgios  B. Giannakis,Markus Leinonen
Koralia Pappi,Panagiotis D. Diamantoulakis
Alexandros-Apostolos A. Boulogeorgos,Panagiotis D. Diamantoulakis
HV Poor,Panagiotis D. Diamantoulakis
Carlo Fischione,Pradeep Chathuranga Weeraddana
Anthony Ephremides,Pradeep Chathuranga Weeraddana
Leandros Tassiulas,Pradeep Chathuranga Weeraddana
Hlaing Minn,Pradeep Chathuranga Weeraddana
Tai Fei,Yuliang Sun
Reinhold Haeb-Umbach,Tai Fei
Nuno Abreu,Patrícia Ramos
Aníbal CC Matos,Patrícia Ramos
Mielke Alexander,Sanjay Govindjee
Carsten Carstensen,Mielke Alexander
Min Chen,Victor C. M. Leung
Haijun Zhang,Victor C. M. Leung
Victor C. M. Leung,Xiaofei Wang
Claudio E. Palazzi,Mauro Conti
Georgios Christoforidis,Theofilos Papadopoulos
Aggelos Bouhouras,Georgios Christoforidis
Dan Doru Micu,Georgios Christoforidis
George E. Georghiou,Georgios Christoforidis
Georgios Christoforidis,Paschalis Gkaidatzis
Andreas I. Chrysochos,Georgios Christoforidis
Dimitrios Tsiamitros,Georgios Christoforidis
Alfonso Valencia,Ildefonso Cases (ORCID:0000-0002-8784-5174)
Anton Enright,Ildefonso Cases (ORCID:0000-0002-8784-5174)
Benjamin Audit,Ildefonso Cases (ORCID:0000-0002-8784-5174)
Ildefonso Cases (ORCID:0000-0002-8784-5174),Nuria Lopez-Bigas
Ildefonso Cases (ORCID:0000-0002-8784-5174),Sophia Tsoka
Ildefonso Cases (ORCID:0000-0002-8784-5174),Nikos Darzentas
Ildefonso Cases (ORCID:0000-0002-8784-5174),pereira-leal j
Dag Ahren,Ildefonso Cases (ORCID:0000-0002-8784-5174)
Jon Crowcroft,Pan Hui
Emmanuel Vincent,Shinji Watanabe
Ahmed E. Hassan,Meiyappan Nagappan
Ayotunde Oluwaseun Laiyemo,Harri Pennanen
Ayotunde Oluwaseun Laiyemo,Petri Luoto
Ayotunde Oluwaseun Laiyemo,Vinh Phan
Eduardo Tovar,Francisco Vasques
Carlos Montez,Francisco Vasques
Francisco Vasques,Luiz Affonso Guedes
Daniel G. Costa,Francisco Vasques
Francisco Vasques,Ivanovitch Medeiros Dantas da Silva
Francisco Vasques,Mário Alves
Francisco Vasques,Rômulo Silva de Oliveira
Francisco Vasques,Ricardo Custódio
Francisco Vasques,Mario Dantas
António Casimiro,Francisco Vasques
Tegawendé F. Bissyandé,Yérom-David Bromberg
Paul Grace,Yérom-David Bromberg
Gordon Blair,Yérom-David Bromberg
Gilles Muller,Yérom-David Bromberg
Julia L. Lawall,Yérom-David Bromberg
Jean-Rémy Falleri,Yérom-David Bromberg
Gaël Thomas,Yérom-David Bromberg
Miguel Andrade,Peer Bork
Chris Sander,Peer Bork
Magnus Själander,Stefanos Kaxiras
Magnus Själander,Sally A. McKee
Magnus Själander,Vasileios Spiliopoulos
Chiara Pelletti,Giacomo Bianconi
Alexandros-Apostolos A. Boulogeorgos,Angeliki Alexiou
Alexandros-Apostolos A. Boulogeorgos,Joonas Kokkoniemi
Alexandros-Apostolos A. Boulogeorgos,Stylianos E. Trevlakis
Alexandros-Apostolos A. Boulogeorgos,Mikko Valkama
Alexandros-Apostolos A. Boulogeorgos,Antonio Teixeira
Alexandros-Apostolos A. Boulogeorgos,Theodoros Tsiftsis
Alexandros-Apostolos A. Boulogeorgos,Robert Schober
Anastasios Bezerianos,Yu SUN
Emil Björnson,Merouane Debbah
Ejder Baştuğ,Merouane Debbah
HV Poor,Merouane Debbah
Gregor Leander,Miroslav Knezevic
Anne Canteaut,Miroslav Knezevic
Lars Ramkilde Knudsen,Miroslav Knezevic
Ali Azarian,João M. P. Cardoso
